,Marca,Modelo,Carroceria,Largo,Alto,Ancho,Peso,Maletero,Depósito,Potencia,Plazas,Isofix,Consumo,Combustible,Emisiones,Etiqueta,Precio,Valoración
32,Hyundai,"['Staria', 'híbrido']",Monovolumen Grande,5.250 m,1.990 m,1.97 m,2280 kg,831 l,65 l,225 CV,9,2.0,7.6 l/100Km,['HEV Gasolina'],172 g/Km,"[' Eco', ' Zero']",49.440 €,"4,0"
33,KGM (SsangYong),"['(SsangYong)', 'Rexton']",SUV Grande,4.850 m,1.825 m,1.96 m,2105 kg,820 l,70 l,202 CV,7,2.0,7.7 l/100Km,[' Diesel'],203 g/Km,"[' C', ' Eco', ' Zero']",39.900 €,"3,1"
34,Kia,"['e-Niro', 'eléctrico']",SUV Pequeño,4.420 m,1.570 m,1.825 m,1757 kg,475 l,-,204 CV,7,2.0,460 Kms,[' Eléctrico'],0 g/Km,[' Zero'],22.360 €,"3,7"
35,Kia,['EV9'],SUV XXL,5.100 m,1.780 m,1.98 m,2674 kg,333 l,-,385 CV,7,4.0,505 Kms,[' Eléctrico'],0 g/Km,[' Zero'],74.860 €,"4,2"
36,Kia,['EV9'],SUV XXL,5.100 m,1.780 m,1.98 m,2674 kg,333 l,-,385 CV,7,3.0,505 Kms,[' Eléctrico'],0 g/Km,[' Zero'],74.860 €,"4,2"
37,Kia,"['Sorento', 'Híbrido']",SUV Grande,4.810 m,1.700 m,1.9 m,1783 kg,179 l,67 l,215-252 CV,7,3.0,1.6-7.4 l/100Km,"['PHEV Gasolina', 'HEV Gasolina']",37-160 g/Km,"[' Eco', ' Zero']",50.140 €,"3,9"
38,Land Rover,"['Rover', 'Discovery', 'Sport']",SUV Mediano,4.589 m,1.727 m,1.904 m,1949 kg,780 l,65 l,163-204 CV,7,2.0,6.6-6.7 l/100Km,['MHEV Diesel'],173-176 g/Km,"[' C', ' Eco', ' Zero']",57.979 €,"3,5"
39,Land Rover,"['Rover', 'Discovery', 'Sport', 'Híbrido']",SUV Mediano,4.597 m,1.727 m,1.904 m,2168 kg,780 l,58 l,269 CV,5,2.0,7.7-7.8 l/100Km,['PHEV Gasolina'],174-176 g/Km,"[' Eco', ' Zero']",59.983 €,"3,5"
40,Lexus,['LM'],Monovolumen Grande,5.130 m,1.945 m,1.89 m,2430 kg,1191 l,75 l,250 CV,5 y 7,2.0,7.4 l/100Km,['HEV Gasolina'],167 g/Km,"[' Eco', ' Zero']",125.000 €,"4,3"
41,Mazda,['CX-80'],SUV Grande,4.995 m,1.714 m,1.89 m,2131 kg,258 l,74 l,254 CV,5 y 7,2.0,5.8 l/100Km,['MHEV Diesel'],148-151 g/Km,"[' Eco', ' Zero']",56.198 €,"4,1"
42,Mazda,"['CX-80', 'híbrido']",SUV Grande,4.995 m,1.714 m,1.89 m,2240 kg,258 l,70 l,327 CV,7,2.0,8.1 l/100Km,['PHEV Gasolina'],35-36 g/Km,"[' Eco', ' Zero']",55.994 €,"4,1"
43,Mercedes-Benz,['GLB'],SUV Mediano,4.634 m,1.659 m,1.834 m,1640 kg,565 l,52 l,150-306 CV,7,4.0,5.6-9.0 l/100Km,"[' Diesel', 'MHEV Gasolina']",146-204 g/Km,"[' C', ' Eco', ' Zero']",49.480 €,"3,6"
44,Mercedes-Benz,"['Clase', 'T']",Monovolumen Pequeño,4.498 m,1.811 m,1.859 m,1599 kg,517 l,54 l,95-131 CV,5 y 7,3.0,5.3-6.7 l/100Km,"[' Diesel', ' Gasolina']",140-155 g/Km,"[' C', ' Eco']",34.035 €,"3,4"
45,Mercedes-Benz,"['Clase', 'V']",Monovolumen Grande,5.140 m,1.900 m,1.928 m,2266 kg,610 l,57 l,163-239 CV,8,4.0,7.1-10.2 l/100Km,[' Diesel'],185-233 g/Km,"[' C', ' Eco', ' Zero']",74.149 €,"3,8"
46,Mercedes-Benz,"['EQB', 'eléctrico']",SUV Mediano,4.634 m,1.689 m,1.834 m,2105 kg,495 l,-,190-292 CV,7,4.0,467-535 Kms,[' Eléctrico'],0 g/Km,[' Zero'],58.260 €,"3,6"
47,Mercedes-Benz,['GLB'],SUV Mediano,4.634 m,1.659 m,1.834 m,1640 kg,565 l,52 l,150-306 CV,7,4.0,5.6-9.0 l/100Km,"[' Diesel', 'MHEV Gasolina']",146-204 g/Km,"[' C', ' Eco', ' Zero']",49.480 €,"3,6"
48,Mercedes-Benz,['GLE'],SUV XXL,4.924 m,1.797 m,2.01 m,2335 kg,630 l,85 l,269-612 CV,7,3.0,6.9-12.5 l/100Km,"['MHEV Diesel', 'MHEV Gasolina']",182-284 g/Km,"[' C', ' Eco']",91.914 €,"3,9"
49,Mercedes-Benz,"['GLE', 'Híbrido']",SUV XXL,4.924 m,1.797 m,2.01 m,2665 kg,490 l,65 l,333-544 CV,5,3.0,7.0-10.7 l/100Km,"['PHEV Diesel', 'PHEV Gasolina']",60-92 g/Km,"[' Eco', ' Zero']",96.618 €,"3,9"
50,Mercedes-Benz,['GLS'],SUV XXL,5.210 m,1.823 m,1.956 m,2615 kg,355 l,90 l,313-612 CV,5 y 7,3.0,7.9-13.7 l/100Km,"['MHEV Diesel', 'MHEV Gasolina']",204-310 g/Km,"[' C', ' Eco', ' Zero']",118.594 €,"3,6"
51,Mitsubishi,"['Outlander', 'Híbrido']",SUV Grande,4.710 m,1.746 m,1.862 m,2070 kg,495 l,53 l,306 CV,5,2.0,0.8 l/100Km,['PHEV Gasolina'],19 g/Km,"[' Eco', ' Zero']",44.300 €,"3,5"
52,Nissan,['Townstar'],Monovolumen Mediano,4.490 m,1.793 m,1.86 m,1475 kg,750 l,54 l,130 CV,5,3.0,6.7-7.1 l/100Km,[' Gasolina'],152-161 g/Km,"[' C', ' Zero']",25.610 €,"3,3"
53,Nissan,['X-Trail'],SUV Grande,4.680 m,1.695 m,1.84 m,1781 kg,585 l,55 l,163 CV,5 y 7,4.0,6.9-7.2 l/100Km,['MHEV Gasolina'],157-163 g/Km,"[' C', ' Eco', ' Zero']",32.900 €,"3,5"
